LOB Code,Name
23035,VEM V-DATA PROTECTION NUOVO
23036,VEM V-DATA PROTECTION RINNOVO
23037,VEM V-SECURE 4 ENDPOINT NUOVO
23038,VEM V-SECURE 4 ENDPOINT RINNOVO
23039,VEM V-SECURE 4 OPTIMIZATION NUOVO
23040,VEM V-SECURE 4 OPTIMIZATION RINNOVO
23041,VEM V-SECURE 4 VULNERABILITIES CAPEX
23042,VEM V-ARCHIVE CAPEX
23043,VEM V-SDWAN CAPEX
23044,VEM V-DATA PROTECTION CAPEX
23045,VEM V-SECURE 4 ENDPOINT CAPEX
23046,VEM V-SECURE 4 OPTIMIZATION CAPEX
23999,SERVIZI VEM
24001,BUILDING AUTOMATION
24002,ALTRI IMPIANTI TECNOLOGICI
24003,INSTALLAZIONE DIGITAL BUILDING
24004,PREVENDITA DIGITAL BUILDING
24999,DIGITAL BUILDING
25001,SVILUPPO APPLICATIVO CUSTOM
25002,SW INTEGRATION
25003,LICENZE IOT
25004,SPACEYE
25005,BEFARM CAPEX
25006,BEFARM OPEX
25007,BEFARM INSTALLAZIONE
25008,SD FACTORII OPEX NUOVO CLIENTE
25009,SD FACTORII OPEX RINNOVO
25010,SD FACTORII CAPEX
25011,SPACEYE OPEX NUOVO CLIENTE
25012,SPACEYE OPEX RINNOVO
25013,SPACEYE CAPEX
25999,SOFTWARE DEVELOPMENT
26001,NEEN OPEX NUOVO CLIENTE
26002,NEEN OPEX RINNOVO
26003,NEEN SERVIZI PROFESSIONALI UNA TANTUM
26004,NEEN ALTRO
26999,NEEN
50001,Professional Services - Custom Based Project
50002,Professional Services - Cloud Services Analysis
50003,Professional Services - Cloud Services Setup
50004,Professional Services - Cloud Infrastructure Migra
50005,Professional Services - AWS Cloud Migration Evalua
50006,Professional Services - NEEN DevOps Services
50007,Professional Services - Observability Platform Ser
50008,Professional Services - Cloud Cost Optimization Se
50009,Professional Services - Advanced Content Delivery 
50010,Professional Services - Advanced Server Protection
50011,Professional Services - Premium Backup Management 
50012,Professional Services - Cloud Compliance Check-up
50013,Professional Services - Cloud Cost Check-up
50014,Professional Services - Malware Detection Setup
50015,Performance Services - Stress Test
50016,Performance Services - Performance Audit
50017,Business Protection - Disaster Recovery Solution S
50018,Business Protection - Business Continuity Project 
50019,Professional Services - In house Setup
50999,CONSULENZA
51001,Pageview - Canone
51002,Pageview - Setup
51999,PRODOTTI SAAS
52001,Performance Services - Observability Platform Serv
52002,Performance Services - Cloud Cost Optimization Lic
52003,Performance Services - Advanced Content Delivery N
52004,SEO Services - Kleecks Platform
52005,SEO Services - SEO Professional Services
52006,Security Services - Infrastructure Vulnerability A
52007,Security Services - Web Application Penetration Te
52008,Security Services - OSINT Check
52009,Security Services - Security Information Setup
52010,Security Services - Security Information & Event M
52011,Security Services - Malware Detection Licenza
52012,Security Services - Advanced Server Protection (WA
52013,Business Protection - Premium Backup Management (O
52014,Business Protection - Disaster Recovery Solution L
52015,Business Protection - Business Continuity Project 
52016,Cloud Infrastructure - Amazon Web Services
52017,Cloud Infrastructure - Google Cloud Platform
52018,Cloud Infrastructure - Microsoft Azure
52019,Cloud Infrastructure - NEEN Cloud (Sparkinit)
52020,Cloud Infrastructure - Others
52021,Miscellaneous - Amazon Virtual Desktop
52022,Miscellaneous - Cloudflare SSL for SaaS
52023,Miscellaneous - Smart Cloud File System
52024,"Miscellaneous - DNS, DNS Anycast, DNSec"
52025,Domain - Domain Management
52026,Domain addon
52027,Mail certificata - PEC
52028,CDN
52029,Certificati SSL
52030,Jelastic
52031,Cloud Infrastructure - NEEN Cloud (Sparkinit)
52032,Miscellaneous - Mail Services
52033,Miscellaneous - Licenze Varie
52034,Bare Metal Provider - Hetzner Bare Metal
52035,Bare Metal Provider - OVH Bare Metal
52036,Bare Metal Provider - Professional Services
52037,Professional Services - Professional Services
52038,Professional Services - Setup
52039,Public Cloud Infrastructure - Amazon Web Services
52040,Public Cloud Infrastructure - Professional Service
52041,Sparkinit Openstack Cloud - Professional Services
52042,Performance Services - Observability Platform Serv
52043,Miscellaneous -S3 Storage
52999,RIVENDITA SERVIZI DI VENDOR
53001,Fully Managed Service - Fully Managed Service
53002,Fully Managed Value Add On - 24/7 On-call Service 
53003,Fully Managed Value Add On - 24/7 Proactive Suppor
53004,Fully Managed Value Add On - Extra Patch Managemen
53005,Fully Managed Value Add On - Major Change Request 
53006,Performance Services - Observability Platform Serv
53007,Performance Services - Cloud Cost Optimization
53008,Performance Services - Advanced Content Delivery N
53009,Security Services - Malware Detection
53010,Security Services - Advanced Server Protection (WA
53011,Business Protection - Standard Backup Management
53012,Business Protection - Premium Backup Management (O
53013,Business Protection - Disaster Recovery Solution
53014,Business Protection - Business Continuity Project
53015,Cloud Infrastructure - Serverless Architectures (B
53016,Cloud Infrastructure - Platform as a Service - Paa
53017,Cloud Infrastructure - Kubernetes as a Service - K
53018,Professional Services - In house Professional Serv
53019,Sparkinit CDN - CDN
53020,Sparkinit Openstack Cloud - Infrastructure as a Se
53021,Sparkinit Jelastic - Jelastic
53999,SERVIZI GESTITI
54001,Prestazione servizi amministrativi
54002,Rivendita hardware - Rivendita hardware
54003,Occupazione ufficio - Occupazione ufficio
54004,Credito Prepagato
54999,ALTRI RICAVI E PROVENTI
78999,SERVIZI VEMS
99001,MERCI C/ACQUISTI
99002,COSTI INSTALLAZIONE E CONSULENZA
99003,TERZISTI DELIVERY CANONI
99004,TERZISTI DELIVERY INSTALLAZIONI
99005,PSS CISCO
99006,SMARTNET CISCO
99007,NOLEGGIO BENI DI TERZI
99008,MANUTENZIONI INTERNE
99009,CONSULENZA TECNICA
99010,SPESE TRASPORTO FORNITORI
99011,CONSULENZA TECNICA PER LA PRODUZIONE
99012,SERVIZI CLOUD UP
99013,PREMI/SCONTI
99998,CONTI DA ASSEGNARE
99999,VARIE
AAA,FORNITORI LICENZE
AMAZ,AMAZON WEB SERVICES - AWS
ZZZ,FORNITORI LICENZE
