variant,fold,accuracy,f1_weighted,f1_macro
baseline,1,0.14586994727592267,0.16248203834219357,0.1099648639203539
baseline,2,0.1518746338605741,0.17600187893707797,0.11104767364912098
baseline,3,0.1665202108963093,0.18307335539786343,0.1144802846962774
baseline_plus_metadata,1,0.2530755711775044,0.2968323741534072,0.215970238990009
baseline_plus_metadata,2,0.2501464557703574,0.2956145550360559,0.1981229227794249
baseline_plus_metadata,3,0.26816051552431164,0.31165264359546213,0.21857384888484296
