component,explained_ratio,cumulative_ratio
1,0.42323275175478486,0.42323275175478486
2,0.3403570589839704,0.7635898107387553
3,0.19739672939072075,0.960986540129476
4,0.02493211862010209,0.9859186587495782
5,0.014081341250421837,1.0
