Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
01074-001.,2013,VIDEOSORVEGLIANZA,Inventario,"Mk II 1080p fixed dome onboard camera with male RJ-45 network connector, and support for audio and I",2013,2013,unchanged
01083-002,2013,VIDEOSORVEGLIANZA,Inventario,PTZ for the toughest conditions. MIL specified build in IR illumination 400M (1300t),2013,2013,unchanged
01083-003,2013,VIDEOSORVEGLIANZA,Inventario,"""PTZ for the toughest conditions. MIL specified, build in IR illumination 400M (1300t), can be mount",2013,2013,unchanged
01109-001,2013,VIDEOSORVEGLIANZA,Inventario,"""Outdoor, 4K Ultra HD (8MP) camera, day/night, fixed box",2013,2013,unchanged
0-1116412-1,1001,CABLAGGI COMMSCOPE,Inventario,INSERTO CIECO COLORE AVORIO,1001,1001,unchanged
01145-001,2013,VIDEOSORVEGLIANZA,Inventario,"Discreet PTZ with HDTV 1080p, 1920x1080, 10x optical zoom,",2013,2013,unchanged
01148-001,2013,VIDEOSORVEGLIANZA,Inventario,,2013,2013,unchanged
01148-001.,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,AXIS T8129-E Outdoor PoE Extender repeats the data signal,4009,4009,unchanged
01154-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T8144 60W INDUSTRIAL MIDSPAN,2013,2013,unchanged
01156-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T94M02L RECESSED MOUNT,2013,2013,unchanged
01164-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T91B47 Pole Mount for indoor and outdoor installations,2013,2013,unchanged
01165-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS T91B47 Pole Mount for indoor and outdoor installatio,1015,1015,unchanged
01170,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,MICROFONI DA SUPERFICIE,4009,4009,unchanged
01178-001,2013,VIDEOSORVEGLIANZA,Inventario,"360°/180° fixed dome with 12 MP sensor and support for Forensic WDR, Lightfinder and OptimizedIR ill",2013,2013,unchanged
01183-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS Q35 SMOKED DOME A 5PCS,2013,2013,unchanged
01186-001,2013,VIDEOSORVEGLIANZA,Inventario,Network Video Decoder for easy display of video from I,2013,2013,unchanged
01189-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS TELESCOPIC CEIL MNT 2P,2013,2013,unchanged
01190-001,2013,VIDEOSORVEGLIANZA,Inventario,"Outdoor-ready, impact resistant (IK10+) back box with sealed",2013,2013,unchanged
01444-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T91G61 WALL MOUNT GREY,2013,2013,unchanged
01445-001,2013,VIDEOSORVEGLIANZA,Inventario,Robust and impact-resistant aluminum wall mount for selected Axis PTZ and positioning cameras. Multi,2013,2013,unchanged
01446-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T91B57 POLE MOUNT GREY,2013,2013,unchanged
01457-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS T94V01C Dual Camera Mount,1015,1015,unchanged
01461-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS T94T02D PENDANT KIT,2013,2013,unchanged
01470-001,2013,VIDEOSORVEGLIANZA,Inventario,"Aluminum Pole Mount for indoor and outdoor installations, for poles with diameter between 100-410 mm",2013,2013,unchanged
01471-001,2013,VIDEOSORVEGLIANZA,Inventario,1 pair marine-grade (SS316L) stainless steel straps with TX30 screw interface for ease-of-installati,2013,2013,unchanged
01473-001,1015,VIDEOSORVEGLIANZA,Inventario,"Outdoor-ready, powder-coated aluminum pole mount with 1.5"" N",1015,1015,unchanged
01481-002,2013,VIDEOSORVEGLIANZA,Inventario,Axis Q6054-E,2013,2013,unchanged
