Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
171109430,1001,CABLAGGI COMMSCOPE,Inventario,bretella di permutazione  LSZH RJ45/RJ45 UTP Blu Cat6 30mt,1001,1001,unchanged
1711160-1,1001,CABLAGGI COMMSCOPE,Inventario,INSERTO RJ45 CAT 6 SL  SCHERMATO - AMP-TWIST-6S,1001,1001,unchanged
1711163-1,1001,CABLAGGI COMMSCOPE,Inventario,CAVO SCHERMATO PIMF COMPACT CAT 7 (600MHz) 4cp LSZH - 500 MT,1001,1001,unchanged
1711163-1-T,1001,CABLAGGI COMMSCOPE,Inventario,SPEZZONE CAVO SCHERMATO PIMF COMPACT CAT 7 (600MHz) 4cp LSZH,1001,1001,unchanged
1711213-2,1001,CABLAGGI COMMSCOPE,Inventario,PANNELLO TELEFONICO CA 3 A 25 PORTE NERO,1001,1001,unchanged
1711214-2,1001,CABLAGGI COMMSCOPE,Inventario,PANNELLO TELEFONICO CA 3 A 50 PORTE NERO UP-G,1001,1001,unchanged
1711342-1,1001,CABLAGGI COMMSCOPE,Inventario,INSERTO RJ45 SL AMP-TWIST-6A - SCHERMATO,1001,1001,unchanged
1711343-1,1001,CABLAGGI COMMSCOPE,Inventario,"JACK SCHERMATO RJ45, ENT 90°, AMP-TWIST-6AS SL, SENZA PARAPO",1001,1001,unchanged
1711592-1,1001,CABLAGGI COMMSCOPE,Inventario,"INSERTO AMP-TWIST-6AS SL JACK, WITH DUST COVER",1001,1001,unchanged
1711658-2,1002,CABLAGGIO ALTERNATIVO,Inventario,DIN RAIL ADAPTOR COVER FOR RJ45 MODULAR JACK,1002,1002,unchanged
1711716-1,1001,CABLAGGI COMMSCOPE,Inventario,INSERTO RJ45 SL AMP-TWIST-6A XGA ISO CAT6A SUP - SCHERMATO,1001,1001,unchanged
1711758-5,1001,CABLAGGI COMMSCOPE,Inventario,CA MRJ21 1G U/F/UTP LZ,1001,1001,unchanged
1711815-1,1001,CABLAGGI COMMSCOPE,Inventario,"PATCH CORD RJ45/RJ45, SCHERMATA, S/FTP, CAT 6A, BIANCA 1 MT",1001,1001,unchanged
1711815-2,1001,CABLAGGI COMMSCOPE,Inventario,"PATCH CORD RJ45/RJ45, SCHERMATA, S/FTP, CAT 6A, BIANCA 2 MT",1001,1001,unchanged
1711815-3,1001,CABLAGGI COMMSCOPE,Inventario,"PATCH CORD RJ45/RJ45, SCHERMAT, S/FTP, CAT 6A BIANCA 3 MT",1001,1001,unchanged
1711815-5,1001,CABLAGGI COMMSCOPE,Inventario,"PATCH CORD  RJ45/RJ45, SCHERMATA, S/FTP, CAT 6A, BIANCA 5 MT",1001,1001,unchanged
1711897-1,1001,CABLAGGI COMMSCOPE,Inventario,DIN RAIL KIT. S/AMP TWIST SERIES JACKS,1001,1001,unchanged
1711970-1,1001,CABLAGGI COMMSCOPE,Inventario,"MODULO MRJ21 Quickfit, 12 porte 10/100/1000BASE-T (4 coppie)",1001,1001,unchanged
172100,99001,MERCI C/ACQUISTI,Non in inventario,"CF-UQ4R Diffusore maglia quadra passo 15x15x12,7 lancio 45 gradi, esterno cornice 595x595 ral 9010",99001,99001,unchanged
1725150-1,1003,TBD******,Inventario,MATRICE PER PINZA SL CERIE USA,1003,1003,unchanged
1725150-6,1001,CABLAGGI COMMSCOPE,Inventario,PINZA COMMSCOPE PER LA CONNESSIONE DEI JACK SL E AMP TWIST  PER CAVI A DIAMETRO MAGGIORATO,1001,1001,unchanged
1730A,1002,CABLAGGIO ALTERNATIVO,Inventario,CAVO BELDEN 1730A FTP,1002,1002,unchanged
1733427,3004,CLOUD VARIE HW,Inventario,"DO1495 HEX THREADED SPACER,NYLON66,NATURAL",3004,3004,unchanged
1736/EUS-G,2006,APPARATI VARI,Inventario,ANALIZZATORE DI RETE TRIFASE,2006,2006,unchanged
175101-10-M0.50,1002,CABLAGGIO ALTERNATIVO,Inventario,Assemblaggi cavi RF N STR/N STR Plug LMR 400 Cbl .5M,1002,1002,unchanged
175101-10-M1.00,1002,CABLAGGIO ALTERNATIVO,Inventario,cavi RF N STR/N STR Plug LMR 400 Cbl 1M,1002,1002,unchanged
1760012,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,"Cavo Y minijack 3,5""-M/2xRCA-M 5 metri",4009,4009,unchanged
1771323,3005,CLOUD VARIE SW,Inventario,"MICROCHIP - PG164130  DEBUGGER, PICKIT 3,USB,PROGRAMMER",3005,3005,unchanged
17737-M1-23,3032,RINNOVO SOLUZIONE BACKUP ALTRO,Inventario,ESSENTIAL 12 MONTHS RENEWAL FOR BACKUP EXEC V-RAY ED WIN 1 C,3032,3032,unchanged
1773896,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,PROLUNGA XLR M/F 3 METRI,4009,4009,unchanged
1773899,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cavo microfonico XLR/M-XLR/F 5M,4009,4009,unchanged
1773915,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cavo microfonico XLR/M-XLR/F 1M,4009,4009,unchanged
1773917,1002,CABLAGGIO ALTERNATIVO,Inventario,C2G PRO-AUDIO - CAVO AUDIO - 22 AWG - XLR 3 PIN (M) - XLR 3,1002,1002,unchanged
1774B009,3004,CLOUD VARIE HW,Inventario,POWERSHOT A560,3004,3004,unchanged
17866,3004,CLOUD VARIE HW,Inventario,Supporto notebook,3004,3004,unchanged
179004,4007,INSTALLAZIONE COLLABORATION,Inventario,Meliconi SSPLUS 600S 50/86,4007,4007,unchanged
1793349,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Presenter per avanzamento slide Logitech R400,4009,4009,unchanged
17A00-8,24001,BUILDING AUTOMATION,Inventario,Scheda di espansione 16Zone/16Uscite,24001,24001,unchanged
1804683,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Adattatore audio mini jack mono (M) a RCA (F),4009,4009,unchanged
182693,1002,CABLAGGIO ALTERNATIVO,Inventario,jack cannon F,1002,1002,unchanged
182696,1002,CABLAGGIO ALTERNATIVO,Inventario,Jack cannon M,1002,1002,unchanged
18443,3004,CLOUD VARIE HW,Inventario,"Cartuccia per etichettatrice Dymo compatibile con Rhino 4200, Rhino 5200, Rhino 6000, 9 mm",3004,3004,unchanged
184483,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Behringer HA400 Amplificatore per cuffie,4009,4009,unchanged
1859916-1,1001,CABLAGGI COMMSCOPE,Inventario,"RJ45 Patch Cord, category 6A, S/FTP, 30 AWG, stranded, LSZH, white, 2 m",1001,1001,unchanged
1859916-2,1001,CABLAGGI COMMSCOPE,Inventario,PATCH 2M SMALL DIAMETER,1001,1001,unchanged
1859916-3,1001,CABLAGGI COMMSCOPE,Inventario,"C/A S/FTP C6A 30AWG LSZH STR,WHT,3M    RJ45 Patch Cord, category 6A, S/FTP, 30 AWG, stranded, LSZH, ",1001,1001,unchanged
186-3250,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,CAVO USB NERO STARTECH DA USB A MASCHIO A USB MICRO MASCIO 2M,4009,4009,unchanged
18679,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,TRINO HD VIDEO WEBCAM IN RES 720P,4009,4009,unchanged
189-3946,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Prolunga XLR M/F 1mt nero,4009,4009,unchanged
189-5359,2006,APPARATI VARI,Inventario,"Antenna per telemetria Abracon AEACAC195013-S868, Frusta SMA 868MHz Maschio",2006,2006,unchanged
18H24AA,3004,CLOUD VARIE HW,Inventario,HP 230 Wireless Mouse and Keyboard Combo,3004,3004,unchanged
1902479,3004,CLOUD VARIE HW,Inventario,BATTERIA SONY PER VGP-BPS21A,3004,3004,unchanged
19046596,2006,APPARATI VARI,Inventario,LINKPROOF BRANCH 8*FE - 64 MB LEVEL III SUPPORT RENEWAL 1 Y,2006,2006,unchanged
19046596C3,2006,APPARATI VARI,Inventario,CL3 FOR LINKPROOF BRANCH/8FE 64MB,2006,2006,unchanged
19072,24001,BUILDING AUTOMATION,Inventario,Cont. OF+SD INTERRUTTORI NG125,24001,24001,unchanged
1910B005,3004,CLOUD VARIE HW,Inventario, EF 16-35MM F2.8 L II USB,3004,3004,unchanged
192-4426,4007,INSTALLAZIONE COLLABORATION,Inventario,"Cavo AUX stereo da 3,5 mm - 10m",4007,4007,unchanged
192-4511,1002,CABLAGGIO ALTERNATIVO,Inventario,DA TOSlink to TOSlinkOTTICA Cavo audio ottico 5m,1002,1002,unchanged
192-9458,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,"Cavo AUX Startech da Presa stereo da 3,5 mm a RCA x 2, lungh. 900mm",4009,4009,unchanged
1-93-330,3004,CLOUD VARIE HW,Inventario,"Borsa porta attrezzi Stanley in Tessuto Dernier 600, 300mm X 250mm x 130mm",3004,3004,unchanged
19335,3004,CLOUD VARIE HW,Inventario,"EUROMET Arakno Portrait, bianco",3004,3004,unchanged
1936141,3004,CLOUD VARIE HW,Inventario,"Set di cacciaviti Wera, 25 pezzi Phillips, a taglio",3004,3004,unchanged
193-6141,3004,CLOUD VARIE HW,Inventario,"Set di cacciaviti Wera, 25 pezzi Phillips, a taglio",3004,3004,unchanged
1950000028Y1,6027,RADWARE SECURITY,Inventario,Alteon VA Deliver - 1Gbps throughput - 1 year Subscription,6027,6027,unchanged
196V4LAB2,3004,CLOUD VARIE HW,Inventario,"MONITOR 18,5 "" 16:9 DVI",3004,3004,unchanged
1983-820-104,4001,TELEFONIA IP,Inventario,GN 1900 MONO NARROWBAND NC ONE-EAR HEADSET,4001,4001,unchanged
1989-820-104,4001,TELEFONIA IP,Inventario,N Netcom BIZ 1900 Duo,4001,4001,unchanged
19GTB-UHD-HBT,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,"GEFEN Extender 4K HDBaseT HDMI 4k 100mt, IR, RS232, POL bidirezionale",4009,4009,unchanged
19HD7M,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Monitor FHD da scrivania,4009,4009,unchanged
1A721000,3004,CLOUD VARIE HW,Inventario,Elettroserratura CISA,3004,3004,unchanged
1B90499,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Secomp Cavo A/V ITB - 2 m HDMI - for Dispositivo audio/video - Estremità 2: HDMI 1.4 Digital Audio/V,4009,4009,unchanged
1CU88ZZ004D.P,3035,STORAGE HITACHI,Inventario,"Intel Xeon Gold 6326 (16C, 2.9GHz, 185W)",3035,3035,unchanged
1CU8UZZ043R.P,3035,STORAGE HITACHI,Inventario,"Intel Xeon Silver 4310 (12C, 2.1G, 120W)",3035,3035,unchanged
1GK-00004,4002,ALTRO MATERIALE,Inventario,Microsoft Surface Dock 2,4002,4002,unchanged
1HDDZ9Z011S.P,3035,STORAGE HITACHI,Inventario,960GB SATA 6Gbps 3DWDP SFF SSD S4610,3035,3035,unchanged
1HDDZ9Z014P.P,3035,STORAGE HITACHI,Inventario,256GB NVMe 0.3DWPD M.2 SSD,3035,3035,unchanged
1HDDZ9Z0316.P,3035,STORAGE HITACHI,Inventario,1.92TB SATA 6Gbps 1.3DWPD SFF SSD PM893,3035,3035,unchanged
1HDDZBZ0085.P,3035,STORAGE HITACHI,Inventario,480GB SATA 6Gbps 1DWDP SFF SSD S4510,3035,3035,unchanged
1HY1ZZZ000K.P,3035,STORAGE HITACHI,Inventario,Intel X710-DA4 Quad Port 10GbE LP SFP+,3035,3035,unchanged
1HY1ZZZ0268.P,3035,STORAGE HITACHI,Inventario,Intel X710-DA4 Quad Port 10GbE OCP 3.0 SFP+,3035,3035,unchanged
1HY1ZZZ028X.P,3035,STORAGE HITACHI,Inventario,1U Remote CPU HeatSink,3035,3035,unchanged
1HY1ZZZ039L.P,3035,STORAGE HITACHI,Inventario,Broadcom SAS3816 HBA Mezzanine for SFF Chassis,3035,3035,unchanged
1HY1ZZZ039M.P,3035,STORAGE HITACHI,Inventario,Broadcom SAS3916 4G RAID Mezzanine for SFF Chassis,3035,3035,unchanged
1HY1ZZZ042W.P,3035,STORAGE HITACHI,Inventario,Supercap for Broadcom SAS3916 4G RAID Mezzanine – 1U,3035,3035,unchanged
1HY1ZZZ043T.P,3035,STORAGE HITACHI,Inventario,DS120 G2 SFF Chassis Tiered SKU,3035,3035,unchanged
1HYQZZZ058H.P,3035,STORAGE HITACHI,Inventario,DS120-G2 Bezel,3035,3035,unchanged
1HYQZZZ084F.P,3035,STORAGE HITACHI,Inventario,POWER SUPPLY 1600W AC Titanium PSU,3035,3035,unchanged
1S4-00003,3004,CLOUD VARIE HW,Inventario,Microsoft Surface Pro 7+,3004,3004,unchanged
1SL9860A00,1002,CABLAGGIO ALTERNATIVO,Inventario,PASSERELLA MET FILO 75X75 3MTVERN.,1002,1002,unchanged
1SMEUZZ006M.P,3035,STORAGE HITACHI,Inventario,64GB 3200MHz RDIMM Memory,3035,3035,unchanged
1SMEUZZ006S.P,3035,STORAGE HITACHI,Inventario,32GB 3200MHz RDIMM Memory,3035,3035,unchanged
1T-C2-750,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,VIDEO SCALER CROSS CONVERTER TVONE,4009,4009,unchanged
1T-CT-443,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Trasmettitore RGBHV+Stereo SPDIF su CAT 5: Distanza massima:,4009,4009,unchanged
1T-CT-452,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Ricevitore RGBHV+Stereo SPDIF su CAT 5,4009,4009,unchanged
1T-DA-672,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,UHD 4K HDMI v1.4 Distribution Amplifier - 1x2,4009,4009,unchanged
1VA-00002,4002,ALTRO MATERIALE,Inventario,"Microsoft Controller Wireless per Xbox, Nero Carbone + Adattatore Wireless per Windows 10",4002,4002,unchanged
1W1K,1002,CABLAGGIO ALTERNATIVO,Inventario,RESISTENZA 1W 1KOHM 5% conf. 5pz,1002,1002,unchanged
1Y8X5,99003,TERZISTI DELIVERY CANONI,Non in inventario,1Y8X5,99003,99003,unchanged
1YGLD-ACS16PT,2006,APPARATI VARI,Inventario,,2006,2006,unchanged
1YGLD-ACS16PT.,2006,APPARATI VARI,Non in inventario,1 YR GLD HW MAINTENANCE ACS16PT,2006,2006,unchanged
20.200.429,2014,CONTROLLO ACCESSI,Inventario,Sirena MURANO LS grigio argentato/fumè EN50131-4,2014,2014,unchanged
20.203.203,17009,SISTEMI ANTINCENDIO,Inventario,Sirena MINI MURANO bianco,17009,17009,unchanged
20.203.361,2014,CONTROLLO ACCESSI,Inventario,Sirena Mini Doge bianco,2014,2014,unchanged
2000-1201,17005,ALTRO DATA CENTER,Inventario,morsetto passante 1mm2,17005,17005,unchanged
2000-1291,17005,ALTRO DATA CENTER,Inventario,tappi ciechi morsetti 1mm2,17005,17005,unchanged
20001-492,4001,TELEFONIA IP,Inventario,"GN 2000 WIDEBAND USB DUO, MICROFONO A CANCELLAZIONE DI RUMOR",4001,4001,unchanged
2002-1201,17005,ALTRO DATA CENTER,Inventario,morsetto passante 2.5mm2,17005,17005,unchanged
2002-1207,17005,ALTRO DATA CENTER,Inventario,morsetto di terra 2.5mm2,17005,17005,unchanged
2002-1291,17005,ALTRO DATA CENTER,Inventario,tappi ciechi morsetti 2.5mm2,17005,17005,unchanged
2003PG1MN,2014,CONTROLLO ACCESSI,Inventario,BADGE PROX iClass 32K programmed,2014,2014,unchanged
2003PGGMN,2014,CONTROLLO ACCESSI,Inventario,"ICLASS 32K (16K/2 + 16K/1), PROGRAMMED, F-GLOSS, B-GLOSS, MATCHING #, NO SLOT",2014,2014,unchanged
2005640,17009,SISTEMI ANTINCENDIO,Inventario,Dispenser HDM 330sca,17009,17009,unchanged
2007056,17009,SISTEMI ANTINCENDIO,Inventario,Portacartucce HIT-CB 330,17009,17009,unchanged
2015,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Sistema completo con trasmettitore a mano,4009,4009,unchanged
2017,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Unità ricevitore diversity per SYSTEM 10 PRO,4009,4009,unchanged
20203203,17009,SISTEMI ANTINCENDIO,Inventario,Sirena Mini Murano bianco,17009,17009,unchanged
2021374,3005,CLOUD VARIE SW,Inventario,CRYSTAL REPORTS 2008 UPGRADE,3005,3005,unchanged
2024 224 AT 01 R00,99001,MERCI C/ACQUISTI,Inventario,BANCO CONFEZIONAMENTO ,99001,99001,unchanged
2025 167 AT 01 R00,99001,MERCI C/ACQUISTI,Inventario,POSTAZIONE DI LAVORO FISSA SU PIEDINI REGOLABILI IN ALTEZZA,99001,99001,unchanged
203-0109,3004,CLOUD VARIE HW,Inventario,CHIAVETTA USB LEXAR 64 GB,3004,3004,unchanged
20356,4007,INSTALLAZIONE COLLABORATION,Inventario,"EUROMET Iris, supporto per telecamere e sistemi di videoconferenza, da soffitto telescopico",4007,4007,unchanged
2047902,3004,CLOUD VARIE HW,Inventario,LOGITECH OEM - K120 KEYBOARD FOR BUSINESS - NERO - USB,3004,3004,unchanged
2050-1201,1002,CABLAGGIO ALTERNATIVO,Inventario,MORS. PASSANTE MINI PER 2 CONDUTTORI,1002,1002,unchanged
2050-1291,1002,CABLAGGIO ALTERNATIVO,Inventario,PIASTRA TERMINALE E INTERMEDIA,1002,1002,unchanged
205146,1003,TBD******,Inventario,CONVERTITORE  USB A SERIALE DB 9 Poli,1003,1003,unchanged
2052-1201,1002,CABLAGGIO ALTERNATIVO,Inventario,"MORS. PASSANTE MINI2C 2,5mm GR",1002,1002,unchanged
2052-1207,1002,CABLAGGIO ALTERNATIVO,Inventario,"MORSETTO PASSANTE MINI 2C 2,5mm GV",1002,1002,unchanged
2052-1291,1002,CABLAGGIO ALTERNATIVO,Inventario,PIASTRA TERMINALE,1002,1002,unchanged
2055425-2,1001,CABLAGGI COMMSCOPE,Inventario,Pigtail LC monomodale APC Tuned 9/125 um2 mt.,1001,1001,unchanged
205557612,1001,CABLAGGI COMMSCOPE,Inventario,NETCONNECT - Trunk-new pack Optimate MPO/F-MPO/F MIDI 12 fo,1001,1001,unchanged
205855,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Cordial CFU 3 FC Cavo audio XLRF/RCAM,4009,4009,unchanged
20700,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Arakno IRIS: supporto telecamera da abbinare a proiettore,4009,4009,unchanged
20A00-21IT,2014,CONTROLLO ACCESSI,Inventario,Centrale HAI (solo scheda),2014,2014,unchanged
20A00-2IT,2014,CONTROLLO ACCESSI,Inventario,Controller HAI Omni Pro II IT - Lingua italiana (Testo e Vo,2014,2014,unchanged
20A00-53IT,2014,CONTROLLO ACCESSI,Inventario,SCHEDA CENTRALE OMNI 2E,2014,2014,unchanged
20A00-73IT,24001,BUILDING AUTOMATION,Inventario,Controller Omni LT e. Italiano.,24001,24001,unchanged
20C600JBIX,3004,CLOUD VARIE HW,Inventario,"ThinkPad E540 20C6  Intel Core i5-4210M , 1x4GB DDR3L-1600",3004,3004,unchanged
20DF004TIX,3004,CLOUD VARIE HW,Inventario,LENOVO THINKPAD EDGE E550 20DF,3004,3004,unchanged
20DF0054IX,3004,CLOUD VARIE HW,Inventario,"Lenovo  E550 15""",3004,3004,unchanged
20DF00C2IX,3004,CLOUD VARIE HW,Inventario,Lenovo e550,3004,3004,unchanged
20DQ0039IX,3004,CLOUD VARIE HW,Inventario,THINKPAD YOGA 15 T,3004,3004,unchanged
20EN33S,3004,CLOUD VARIE HW,Inventario,Monitor LG 19.5'' 1600x900 VGA,3004,3004,unchanged
20EV000RIX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E560 20EV,3004,3004,unchanged
20EV000UIX,3004,CLOUD VARIE HW,Inventario,THINKPAD E560 CI5-G6200U 4GB 500GB DVD-R 15.6 W7PRO64/W10PRO,3004,3004,unchanged
20EV000YIX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E560 20EV,3004,3004,unchanged
20FD001WIX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad Yoga 260,3004,3004,unchanged
20H50073IX,3004,CLOUD VARIE HW,Inventario,Lenovo E570,3004,3004,unchanged
20KNKS-00-000000,2014,CONTROLLO ACCESSI,Inventario,"SIGNO 20K,BLK/SLVR,PIG,CRD PFL STD",2014,2014,unchanged
20KS007QIX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E580 20KS,3004,3004,unchanged
20M35A,3004,CLOUD VARIE HW,Inventario,LED 19.5 16:9 LUM.200 5MS 1600X900 D-SUB,3004,3004,unchanged
20N8A003IX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E490 20N8,3004,3004,unchanged
20NB005AIX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E90 20NB,3004,3004,unchanged
20NKS-00-000000.,1016,CONTROLLI ACCESSI,Inventario,lettore HId Signo 20 Uscita CSN 56 bit  Slim per LAB,1016,1016,unchanged
20RA003AIX,3004,CLOUD VARIE HW,Inventario,ThinkPad E14 ,3004,3004,unchanged
20RD0019IX,3004,CLOUD VARIE HW,Inventario,Lenovo ThinkPad E15 20RD,3004,3004,unchanged
20TH0012IX,3004,CLOUD VARIE HW,Inventario,lenovo thinkpad P1 (3rd Gen) 20TH,3004,3004,unchanged
20U30017IX,3004,CLOUD VARIE HW,Inventario,ThinkPad L15,3004,3004,unchanged
21005330,4009,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario,Decoder - TS 6005 Stealth,4009,4009,unchanged
210127,3004,CLOUD VARIE HW,Inventario,"CAT5, RJ-45 to RJ-45 CISCO MALE ADAPTER",3004,3004,unchanged
210-35637,3004,CLOUD VARIE HW,Inventario,NOTEBOOK Dell Latitude™ E6320,3004,3004,unchanged
2105-002,2013,VIDEOSORVEGLIANZA,Inventario,AXIS S3008 2 TB Recorder with 8 PoE ports and a gigabit uplink,2013,2013,unchanged
2109991,1003,TBD******,Inventario,ADATT. RETE SP. 16A/3 PR. BIAN,1003,1003,unchanged
210-AEUU,3004,CLOUD VARIE HW,Inventario,"Monitor 17""",3004,3004,unchanged
210-AMPU,3004,CLOUD VARIE HW,Inventario,"Dell 24 Monitor - P2418D - 60.4cm(23.8"") Black ITL",3004,3004,unchanged
210-ANJK/19,3004,CLOUD VARIE HW,Inventario,Precision 5820 Tower XCTO Base,3004,3004,unchanged
210-BFVZ,3039,RUBRIK,Inventario,OEM POWEREDGE R660XS XL,3039,3039,unchanged
2110076,1003,TBD******,Inventario,SP. TRIPLA 10A/2PR 10A+SCHUKO N. IMQ,1003,1003,unchanged
2110077,1003,TBD******,Inventario,SP.TRIPLA 10A/2PR. 10A+SCHUKO B. IMQ,1003,1003,unchanged
2111010-3,1001,CABLAGGI COMMSCOPE,Inventario,PLACCA A BASSO PROFILO per SL & 110Connect 3 PORTE  (RJ45) colore Avorio,1001,1001,unchanged
2111011-1,1001,CABLAGGI COMMSCOPE,Inventario,"Placca Commscope, dimensione Singola, Etichette ed icone",1001,1001,unchanged
2111022-1,1001,CABLAGGI COMMSCOPE,Inventario,PLACCA SOTT. SL110 CONNECT. 2P. RJ45 COLORE AVORIO,1001,1001,unchanged
2111023-1,1001,CABLAGGI COMMSCOPE,Inventario,"PLACCA SLIM, DIMENSIONE SINGOLA, 3 PORTE",1001,1001,unchanged
2111024-1,1001,CABLAGGI COMMSCOPE,Inventario,"PLACCA SLIM DIMENSIONE SINGOLA, 4 PORTE",1001,1001,unchanged
2111093-1,1001,CABLAGGI COMMSCOPE,Inventario,QUICKFIT STP SUPPORT 1pcs,1001,1001,unchanged
211136610,1001,CABLAGGI COMMSCOPE,Inventario,"Cavo Trunk-MRJ21 grigio, 10mt",1001,1001,unchanged
2111440-2,1001,CABLAGGI COMMSCOPE,Inventario,110 PLUG-N-PLAY SCANNING MOD CABLE 24-C,1001,1001,unchanged
2111441-2,1001,CABLAGGI COMMSCOPE,Inventario,"2.0mm Scanning Module Cable, 24-C, 2 ft",1001,1001,unchanged
211201-02,4002,ALTRO MATERIALE,Inventario,Auricolare Plantronics Savi 8240 Wireless Earbud Mono - In-ear - 18000 cm - DECT 6.0 - 32 Ohm - 20 H,4002,4002,unchanged
2119206,3004,CLOUD VARIE HW,Inventario,"Set di cacciaviti Usag 091 SH8, 8 pezzi A taglio",3004,3004,unchanged
2119239,3004,CLOUD VARIE HW,Inventario,"Forbici Usag 207 D per Elettricisti, Acciaio inox, lunghezza lama 43 mm",3004,3004,unchanged
2119290,3004,CLOUD VARIE HW,Inventario,"Set di cacciaviti Usag 324 SH8, 8 pezzi Phillips, Taglio",3004,3004,unchanged
21204100,3004,CLOUD VARIE HW,Inventario,DRUM KIT - DK-DP 80F/85F,3004,3004,unchanged
2-1206138-4,1001,CABLAGGI COMMSCOPE,Inventario,"PANNELLO 12P CARICATO CON MODULI 6SC DUPLEX 50/125 62,5/125",1001,1001,unchanged
2134543,1002,CABLAGGIO ALTERNATIVO,Inventario,"Connettore per illuminazione Wieland Maschio, 3 poli, Montaggio su cavo",1002,1002,unchanged
2-1375055-2,1002,CABLAGGIO ALTERNATIVO,Inventario,JACK SL110 RJ45 CAT6 BLK,1002,1002,unchanged
214-381,1003,TBD******,Inventario,"Interruttore porta ABUS, 20V cc 1A",1003,1003,unchanged
214-4069,3004,CLOUD VARIE HW,Inventario,"Avvolgicavo a spirale bianco, diametro 9mm",3004,3004,unchanged
2151251-02,1002,CABLAGGIO ALTERNATIVO,Inventario,Pigtail SC Multimodale 50/125um L. 2 mt,1002,1002,unchanged
2151252-02,1002,CABLAGGIO ALTERNATIVO,Inventario,Pigtail LC Multimodale 50/125 um L. 2 mt,1002,1002,unchanged
2151253-02,1001,CABLAGGI COMMSCOPE,Inventario,PIGTAIL ST 50/125 OM2 MT.2,1001,1001,unchanged
2153046-1,1001,CABLAGGI COMMSCOPE,Inventario,"MRJ21 XG Flush Mount Patch Panel, 48 RJ45 ports, 12 MRJ21™",1001,1001,unchanged
2153052-4,1001,CABLAGGI COMMSCOPE,Inventario,"Cavo trunk MRJ21/MRJ21, XG, Schermato, metri 4",1001,1001,unchanged
2153052-5,1001,CABLAGGI COMMSCOPE,Inventario,"Cavo trunk MRJ21/MRJ21, XG, Schermato,metri 5",1001,1001,unchanged
2153115-1,1001,CABLAGGI COMMSCOPE,Inventario,"Modulo MRJ21, XG - Quickfit, 8 porte 10/100/1000BASE-T & 10",1001,1001,unchanged
2153241-1,1001,CABLAGGI COMMSCOPE,Inventario,PATCH CORD AMP UTP RJ45/RJ45 5E MT1,1001,1001,unchanged
2153241-2,1001,CABLAGGI COMMSCOPE,Inventario,"Bretella di permutazione LSZH RJ45/RJ45 UTP bianca, Cat 5E,",1001,1001,unchanged
2153241-3,1001,CABLAGGI COMMSCOPE,Inventario,PATCH CORD AMP UTP RJ45/RJ45 5E MT3,1001,1001,unchanged
2153244-1,1001,CABLAGGI COMMSCOPE,Inventario,Adattatore Quick-fit per Micro-cassettini MPO/LC - alloggia,1001,1001,unchanged
2153290-2,1002,CABLAGGIO ALTERNATIVO,Inventario,"CAVO SCHERMATO F/FTP CATEGORIA 6A, SOLID O AWG 23, 4CP, GUAI",1002,1002,unchanged
2153293-2,1001,CABLAGGI COMMSCOPE,Inventario,"RJ45 PATCH CORD, CAT 6A, S/FTP, LSZH, WHITE, 1M",1001,1001,unchanged
2153354-1,1001,CABLAGGI COMMSCOPE,Inventario,"RJ45 Modular Jack E-Series, category 6A, shielded, 8-position",1001,1001,unchanged
