Codice Articolo,Lob Associata,Nome LOB,lob_norm,family,suggested_lob,family_lob_nunique,family_support,decision
0151254-24,1,IMPIANTI,1,0151254,1002,1.0,2.0,auto_fix_safe
DSTACK-T0-E,3,CLOUD TECHNOLOGIES,3,DSTACK-T0,2003,1.0,1.0,auto_fix_safe
NWSTACK-T0-E,2,APPARATI,2,NWSTACK-T0,2003,1.0,1.0,auto_fix_safe
SUBS-STORAGEGRID-UPG,3,CLOUD TECHNOLOGIES,3,SUBS-STORAGEGRID,3022,1.0,1.0,auto_fix_safe
SVS-PDNA-ESS,3,CLOUD TECHNOLOGIES,3,SVS-PDNA,2003,1.0,1.0,auto_fix_safe
WBEXTWAR3YR-NB-02,17,DATACENTER INFRASTRUCTURE,17,WBEXTWAR3YR-NB,17007,1.0,1.0,auto_fix_safe
