Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
ADATTATORE MINI-COM/BTICINO MATIX BIANCO,1008,BT3989,CABLAGGIO PANDUIT,Inventario
ADATTATORE MINI-COM/BTICINO MATIX BIANCO,2014,BT3889,CONTROLLO ACCESSI,Inventario
ALIMENTATORE CON MORSETTO E SPINA,24001,VPODE ALIMENTATORE,BUILDING AUTOMATION,Inventario
ALIMENTATORE CON MORSETTO E SPINA,24002,XVS015,ALTRI IMPIANTI TECNOLOGICI,Inventario
"Advanced Protect Anti-Phishing, including URL inspection and file sandboxing and sanitization",6002,CPHARECADVEMAILREN1Y,CHECKPOINT SECURITY,Inventario
"Advanced Protect Anti-Phishing, including URL inspection and file sandboxing and sanitization",6011,CPHARECADVEMAILREN1.,RINNOVO CHECKPOINT SECURITY,Non in inventario
"AmazonBasics Cavo Mini DisplayPort/HDMI - 0,9 metri",3004,CAVOMINIDISPALYPORT,CLOUD VARIE HW,Inventario
"AmazonBasics Cavo Mini DisplayPort/HDMI - 0,9 metri",4009,B0134V29UA,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
"Android 10.1"" SoC, 5 point pcap, RK3288, A17 1.6Ghz, 2GB Sdram, 16GB eMMC flash, 500cd/m2, 1280x800,",2006,APPC-10SLB,APPARATI VARI,Inventario
"Android 10.1"" SoC, 5 point pcap, RK3288, A17 1.6Ghz, 2GB Sdram, 16GB eMMC flash, 500cd/m2, 1280x800,",4009,88902020.233,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
Annuity Blades,6002,CPSBNGFW1550BUN2Y,CHECKPOINT SECURITY,Inventario
Annuity Blades,6011,CPHAREPCOMPLETEBUN1Y,RINNOVO CHECKPOINT SECURITY,Non in inventario
Annuity Blades,6011,CPHARMOBILEDVCBUNR1Y,RINNOVO CHECKPOINT SECURITY,Non in inventario
Anti-Phishing including URL inspection and file sandboxing and sanitization (CDR) for incoming and i,6002,CPHARECADVEMAILAPPS1,CHECKPOINT SECURITY,Inventario
Anti-Phishing including URL inspection and file sandboxing and sanitization (CDR) for incoming and i,6011,CPHARECADVEMAILAPPS.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Anti-Phishing including URL inspection and file sandboxing and sanitization (CDR) for incoming and i,6011,CPHARECADVEMAILAPPSR,RINNOVO CHECKPOINT SECURITY,Non in inventario
"Apex One on-prem includes Mac, VDI, iDLP, iVP, iAC and Apex Central, Cross-upgrade, Normal, 2001-500",6002,VO01213848,CHECKPOINT SECURITY,Inventario
"Apex One on-prem includes Mac, VDI, iDLP, iVP, iAC and Apex Central, Cross-upgrade, Normal, 2001-500",6003,OS01143230,TREND MICRO PRIMA VENDITA,Inventario
Attuatore per serranda ad azione ON/OFF o 3 punti 10Nm 24 Vac  IP54,1011,MD10B-24,BUILDING AUTOMATION,Inventario
Attuatore per serranda ad azione ON/OFF o 3 punti 10Nm 24 Vac  IP54,24001,8751015000,BUILDING AUTOMATION,Inventario
BASIC SUPPORT/SUBSCRIPTION FOR VMWARE VSPHERE 8 ESSENTIALS PLUS KIT FOR 3 HOSTS (MAX 2 PROCESSORS PE,3011,VS8-ESP-KIT-G-SSS-C,SOFTWARE VMWARE,Inventario
BASIC SUPPORT/SUBSCRIPTION FOR VMWARE VSPHERE 8 ESSENTIALS PLUS KIT FOR 3 HOSTS (MAX 2 PROCESSORS PE,3019,VS8-ESP-KIT-G-SSSCR,RINNOVO SOFTWARE VMWARE,Inventario
BATTERIA 12V 7AH,1011,EJ300610000,BUILDING AUTOMATION,Inventario
BATTERIA 12V 7AH,17009,BAT-05,SISTEMI ANTINCENDIO,Inventario
Ball Bearing Rail Kit for C220 & C240 M6 rack servers,2002,UCSC-RAIL-M6=,APPARATI CISCO LAN,Inventario
Ball Bearing Rail Kit for C220 & C240 M6 rack servers,3009,UCSC-RAIL-M6,SERVER CISCO,Inventario
Ball Bearing Rail Kit for C220 & C240 M6 rack servers,3030,HX-RAIL-M6,STORAGE IPERCONVERGENZA CISCO,Inventario
"C240 M6 Riser1A; (x8;x16x, x8); StBkt; (CPU1)",3009,UCSC-RIS1A-240M6,SERVER CISCO,Inventario
"C240 M6 Riser1A; (x8;x16x, x8); StBkt; (CPU1)",3030,HX-RIS1A-240M6,STORAGE IPERCONVERGENZA CISCO,Inventario
C2G HDMI Micro to HDMI Adapter Converter Dongle,3004,3223853,CLOUD VARIE HW,Inventario
C2G HDMI Micro to HDMI Adapter Converter Dongle,4009,80510,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
CHECKPOINT COLLABORATIVE ENTERPRISE SUPPORT,6002,CPCES-CO-STANDARD,CHECKPOINT SECURITY,Inventario
CHECKPOINT COLLABORATIVE ENTERPRISE SUPPORT,6011,CPCES-CO-STANDARD.,RINNOVO CHECKPOINT SECURITY,Non in inventario
CIABATTA MULTISTANDARD 4P,1002,FME410100,CABLAGGIO ALTERNATIVO,Inventario
CIABATTA MULTISTANDARD 4P,1003,FME410110,TBD******,Inventario
CONTENITORE 1 POSTO ORIZZONTALE,1002,GWGW27001,CABLAGGIO ALTERNATIVO,Inventario
CONTENITORE 1 POSTO ORIZZONTALE,1003,GWGW27041,TBD******,Inventario
CONTENITORE 3 POSTI ORIZZONTALE,1002,GWGW27003,CABLAGGIO ALTERNATIVO,Inventario
CONTENITORE 3 POSTI ORIZZONTALE,1003,GWGW27043,TBD******,Inventario
CONTRIBUTO TAGLIO CAVO,1002,CVTAGLIOCAVO,CABLAGGIO ALTERNATIVO,Non in inventario
CONTRIBUTO TAGLIO CAVO,1003,CV-TC,TBD******,Non in inventario
CYBER GURU PHISHING 1 Year sub contract1.000-2.999,15008,CG-PHI-C1-R,CYBERGURU - RINNOVO,Non in inventario
CYBER GURU PHISHING 1 Year sub contract1.000-2.999,6004,CG-PHI-C1,ALTRO SECURITY,Non in inventario
Carbon Black Cloud EDR - 150-249 Licenses,20001,PAN-CBCE-12M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 150-249 Licenses,20001,PAN-CBCE-36M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 150-249 Licenses,20006,PAN-CBCE-12M-S3,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 50-99 Licenses,20001,PAN-CBCE-12M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 50-99 Licenses,20001,PAN-CBCE-COTR-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 50-99 Licenses,20006,PAN-CBCE-12M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Carbon Black Cloud EDR - 50-99 Licenses,20006,PAN-CBCE-36M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
"Catalyst 1200 8-port GE, Full PoE, 2x1G Combo",2001,C1200-8FP-2G-OPT,APPARATI CISCO WIRELESS,Inventario
"Catalyst 1200 8-port GE, Full PoE, 2x1G Combo",2002,C1200-8FP-2G,APPARATI CISCO LAN,Inventario
"Catalyst 9200L 48-port PoE+, 4 x 1G, Network Essentials",2002,C9300L-24T-4G-E,APPARATI CISCO LAN,Inventario
"Catalyst 9200L 48-port PoE+, 4 x 1G, Network Essentials",2003,C9200L-48P-4G-E,APPARATI CISCO WAN,Inventario
"Catalyst 9300X 12x25G Fiber Ports, modular uplink Switch",2001,C9300X-12Y-A,APPARATI CISCO WIRELESS,Inventario
"Catalyst 9300X 12x25G Fiber Ports, modular uplink Switch",2002,C9300X-12Y-E,APPARATI CISCO LAN,Inventario
Cavo HDMI 1 metro,3004,66PI0502-010,CLOUD VARIE HW,Inventario
Cavo HDMI 1 metro,4009,EXP-HDMI-H2-1M,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
Cavo HDMI 1 metro,4009,PI1000-010,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
Cavo HDMI 3 m,4007,EXP-4KUHD-3.0,INSTALLAZIONE COLLABORATION,Inventario
Cavo HDMI 3 m,4009,PI1000-030,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
Certego Service Specialist,20001,PAN-CSS-36M-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Certego Service Specialist,20006,PAN-CSS-COTR,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Checkpoint SmartEvent & SmartReporter for 5 gateways -1 year,6002,CPSB-EVS-5-1Y,CHECKPOINT SECURITY,Inventario
Checkpoint SmartEvent & SmartReporter for 5 gateways -1 year,6011,CPSB-EVS-5-1Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Cisco 1000 UNIVERSAL,2002,SG10UK9-15803M,APPARATI CISCO LAN,Inventario
Cisco 1000 UNIVERSAL,2015,SG10UK9-15703M,APPARATI CISCO IOT,Inventario
Cisco 12G Modular SAS HBA (max 16 drives),3009,UCSC-SAS-M5,SERVER CISCO,Inventario
Cisco 12G Modular SAS HBA (max 16 drives),3030,HX-SAS-M5,STORAGE IPERCONVERGENZA CISCO,Inventario
Cisco 12G SAS HBA for(16 Drives) w/2U Brkt,3009,UCSC-SAS-240M6,SERVER CISCO,Inventario
