Descrizione Articolo,lob_nunique,lob_values,lob_code_description
"TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified, for M6 servers",2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
TUBO CORRUGATO PIEGHEVOLE IMQ 3321,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
TUBO RIGIDO GRIGIO IMQ 3321,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
"TeraSPEED® LC to Unconnectorized, Fiber Pigtail, 0.9 mm Tight Buffer",2,1001 | 1002,"1001 - CABLAGGI COMMSCOPE
1002 - CABLAGGIO ALTERNATIVO"
Third Party Detection - 1500-1999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Threat Intelligence IOC Feeds - S,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Threat Intelligence IOC Feeds – L,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
"Trend Vision One - Data Pipeline (Outbound), Renew, Normal, 1-1000 License,04 months",2,6003 | 6012,"6003 - TREND MICRO PRIMA VENDITA
6012 - RINNOVO SOFTWARE TREND MICRO"
UCS Fabric Interconnect 6454,2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
UCS Manager v4.2 and Intersight Managed Mode v4.2,2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
"UHD, 350 nits, Tizen 4.0, Soc6",2,4008 | 4009,"4008 - CISCO VIDEOCONFERENZA/BOARD
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
"ULL TeraSpeed LC Uniboot to LC Uniboot, Fiber Patch Cord, 2.0 mm Duplex, LSZH/Riser",2,1001 | 1002,"1001 - CABLAGGI COMMSCOPE
1002 - CABLAGGIO ALTERNATIVO"
UNIVERSAL - NO PAYLOAD ENCRYPTION,2,2002 | 2006,"2002 - APPARATI CISCO LAN
2006 - APPARATI VARI"
"Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, URL, DNS & V",2,6007 | 6011,"6007 - FORTINET SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
"Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, Web & Video",2,6007 | 6013,"6007 - FORTINET SECURITY
6013 - RINNOVO FORTINET SECURITY"
Upgrade FortiCare Premium to Elite (Require FortiCare Premium),2,6002 | 6007,"6002 - CHECKPOINT SECURITY
6007 - FORTINET SECURITY"
VENTOLA,2,1003 | 17005,"1003 - TBD******
17005 - ALTRO DATA CENTER"
VISION Professional installation-grade USB 2.0 cable,2,3004 | 4009,"3004 - CLOUD VARIE HW
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
VMware ESXi Hyper-V KVM Renewal. Integrating Check Point's Next Generation Threat Prevention subscri,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Veeam Data Platform Foundation Universal Subscription License. Includes Enterprise Plus Edition feat,2,3031 | 3032,"3031 - SOLUZIONE BACKUP ALTRO
3032 - RINNOVO SOLUZIONE BACKUP ALTRO"
Vulnerability Detection - Public IPs – 20 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Vulnerability Detection - Public IPs – 30 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Vulnerability Detection - Web Apps,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Wall Mount Kit for Codec EQ,2,2002 | 4008,"2002 - APPARATI CISCO LAN
4008 - CISCO VIDEOCONFERENZA/BOARD"
Webex Calling Entitlement,2,4008 | 4015,"4008 - CISCO VIDEOCONFERENZA/BOARD
4015 - CISCO COLLABORATION A CANONE"
"lteom Perform Pro - 1Gbps GlobalElastic License including 8 VAs/vADCs, 1 year subscription.",2,6002 | 6028,"6002 - CHECKPOINT SECURITY
6028 - RINNOVO RADWARE SECURITY"
